Persistence Component,Target,-0.08398501574993134
Reboot Persistence,Target,-0.08344361931085587
Executable Launch,APT Group,-0.08263537287712097
Persistence Configuration,Target,-0.0787283331155777
Executed Components,Source,-0.07705635577440262
Reboot Persistence,Malware Used,-0.07656710594892502
Component Invocation,Source,-0.07654371112585068
Compromised Credentials,Executable Name,-0.07470108568668365
Target,Persistence Option,-0.0676170065999031
Reboot Persistence,Malware Type,-0.06583904474973679
Created by,Component Invocation,-0.06420047581195831
Component Invocation,Created By,-0.06420047581195831
Group Name,Component Invocation,-0.06268736720085144
Backdoor Type,Frequency,-0.06151476502418518
Target,Persistence Mechanisms,-0.05941203236579895
Source,Command Execution Method,-0.05940629541873932
Persistence Mechanism,Target,-0.058953069150447845
Executed Components,Frequency,-0.05836635082960129
Reboot Persistence,Malicious Software,-0.05725040286779404
Persistence Establishment,Target,-0.056787651032209396
Bypass Technique,Task Start Time,-0.05418345332145691
Maintained Persistence,Target,-0.05405479669570923
Persistence Type,Target,-0.053444985300302505
Persistence Method,Target,-0.05304967612028122
Compromised Credentials,Launched By,-0.05145445466041565
Executed Components,Created by,-0.050719622522592545
Executed Components,Created By,-0.050719622522592545
Component Invocation,Actor Name,-0.049222156405448914
Compromised Credentials,Executable Launch,-0.04885336756706238
Component Invocation,Target,-0.04778628796339035
Persistence Action,Target,-0.04764851927757263
Executed Components,Actor Name,-0.04738724231719971
Actor Name,Persistence Configuration,-0.04689005762338638
Persistence Technique,Target,-0.045681215822696686
Reboot Persistence,Adversary,-0.043060533702373505
Adversary,Persistence Trigger,-0.04286530986428261
Adversary,Persistence Configuration,-0.04284919798374176
Actor Name,Maintained Persistence,-0.042720187455415726
Persistence Component,Actor Name,-0.042572230100631714
Actor Name,Persistence Mechanisms,-0.04113919287919998
Component Invocation,Frequency,-0.04097764939069748
Persistence Component,Malware Used,-0.04078160971403122
Scheduled Job,Adversary Name,-0.04054725915193558
Reboot Persistence,Threat Actor,-0.04006745666265488
Bypass Mechanism,Task Start Time,-0.03953767567873001
Actor Name,Persistence Establishment,-0.03826408088207245
Actor Name,Persistence Type,-0.035944800823926926
Group Name,Executed Components,-0.035765115171670914
Reboot Persistence,Adversary Name,-0.03562011569738388
Backdoor Type,Task User,-0.035531796514987946
Persistence Trigger,Malware Used,-0.03524070978164673
Actor Name,Persistence Mechanism,-0.03506282716989517
Compromised Credentials,Module Name,-0.03456057235598564
Source,Tool Argument,-0.03429039567708969
Backdoor Type,Task Run User,-0.03424043953418732
File Name,Establishment Method,-0.03420321270823479
Adversary,Persistence Option,-0.03418811783194542
Actor Name,Persistence Technique,-0.03310666233301163
Adversary,Persistence Component,-0.032744359225034714
Scheduled Tasks,Adversary Name,-0.03186706081032753
Compromised Networks,Executable Launch,-0.030208637937903404
Actor Name,Persistence Option,-0.030128534883260727
Persistence Configuration,Malicious Software,-0.029781285673379898
Actor Name,Persistence Trigger,-0.029245229437947273
Persistence Trigger,Target,-0.029211558401584625
Component Invocation,Interval Type,-0.02904198318719864
Payload Copy Method,Interval Type,-0.0288317259401083
Bypassed Security,File Name,-0.028142645955085754
Executed Components,Target,-0.028050823137164116
Actor Name,Persistence Action,-0.028010359033942223
Group Name,Executable Launch,-0.027378981932997704
Scheduled Task,Adversary Name,-0.02721429616212845
Persistence Method,Actor Name,-0.027031557634472847
Adversary,Persistence Action,-0.026854056864976883
Executed Components,Interval Type,-0.026813296601176262
Persistence Component,Malicious Software,-0.02587411180138588
Group Name,Bypassed Security,-0.02561480924487114
Description,Bypass Mechanism,-0.025578856468200684
Persistence Component,Adversary Name,-0.025561034679412842
File Type,Establishment Method,-0.02512965351343155
Backdoor Type,Scheduled Task,-0.024775832891464233
Executable Type,Compromised Networks,-0.02460329234600067
Source,System Type,-0.02371426858007908
Backdoor Type,Script Interval,-0.023601990193128586
Compromised Credentials,Execution Frequency,-0.02329915389418602
Adversary,Persistence Type,-0.022938638925552368
Compromised Credentials,Run Frequency,-0.02259601652622223
Compromised Credentials,System Type,-0.021990418434143066
Component Invocation,Schedule Type,-0.021545562893152237
Persistence Configuration,Malware Used,-0.021310769021511078
Scheduled Tasks,Backdoor Type,-0.021117374300956726
Backdoor Type,Task Command,-0.020756326615810394
Component Invocation,Lateral Movement Technique,-0.020371565595269203
Reboot Persistence,Source,-0.019239116460084915
Bypassed Security,Frequency,-0.019222335889935493
Bypass Mechanism,Persistence Type,-0.019091706722974777
Persistence Method,Malware Used,-0.018699953332543373
Executable Type,Compromised Credentials,-0.01866072602570057
Description,Bypass Technique,-0.01865910366177559
Executed Components,Spread Method,-0.01848149299621582
Persistence Trigger,Malicious Software,-0.018434418365359306
Group Name,Binary Execution,-0.01841200701892376
Source,Execution Type,-0.01825757697224617
Executable Type,APT Group,-0.018209315836429596
Malware Used,Persistence Action,-0.018115408718585968
Reboot Persistence,Actor Name,-0.017875172197818756
Persistence Method,Malicious Software,-0.017873534932732582
Adversary,Persistence Mechanism,-0.01768769882619381
Execution Time,Bypass Mechanism,-0.01749204844236374
Persistence Trigger,Other Malware,-0.017376655712723732
Compromised Networks,Binary Execution,-0.017066381871700287
Persistence Configuration,Actor,-0.016516171395778656
Compromised Credentials,Trigger Type,-0.01616053283214569
Source,Persistence Type,-0.015199888497591019
Downloaded Malware,Script Interval,-0.014976708218455315
Malware Used,Persistence Type,-0.014677291736006737
Executable,APT Group,-0.01458895206451416
Compromised Credentials,File Name,-0.014363376423716545
Adversary,Persistence Method,-0.014325941912829876
Source,Command Executed,-0.014279352501034737
Establishment Method,File Extension,-0.014019222930073738
Compromised Credentials,Frequency,-0.013679612427949905
Component Invocation,Spread Method,-0.01366925984621048
Executable Name,APT Group,-0.01356210745871067
Bypassed Security,File Type,-0.01337607391178608
Bypass Technique,Persistence Type,-0.013310280628502369
Bypass Technique,Execution Time,-0.013231299817562103
Reboot Persistence,Other Malware,-0.013071797788143158
Component Invocation,Task Schedule,-0.012977790087461472
Persistence Action,Adversary Name,-0.012974971905350685
Adversary,Maintained Persistence,-0.01279866136610508
Executable,Compromised Credentials,-0.01250327005982399
Reboot Persistence,Downloaded Malware,-0.012292593717575073
Adversary,Persistence Establishment,-0.012185456231236458
Disguised As,Task Frequency,-0.012096562422811985
Execution Trigger,Compromised Credentials,-0.012085111811757088
Actor Name,Backdoor Type,-0.012022478505969048
Group Name,Bypass Technique,-0.012008442543447018
Downloaded Malware,Interval Type,-0.011865615844726562
Component Invocation,Techniques,-0.011734256520867348
Persistence Type,Malicious Software,-0.011699896305799484
Persistence Configuration,Disguised As,-0.011338453739881516
Backdoor Type,Task Frequency,-0.011319715529680252
Persistence Trigger,Adversary Name,-0.011306554079055786
Component Invocation,Task Scheduling,-0.011306128464639187
Executable Name,Compromised Networks,-0.010742724873125553
Compromised Credentials,Interval Type,-0.01066618226468563
Malware Name,Compromised Credentials,-0.010635904967784882
Malware Used,Persistence Establishment,-0.01049378514289856
Loader Type,Source,-0.010362834669649601
Compromised Credentials,Tool Name,-0.010274178348481655
Bypass Technique,Task Frequency,-0.008822943083941936
Executable Launch,Downloader,-0.0087282694876194
Compromised Account,Frequency,-0.008655467070639133
Adversary,Persistence Technique,-0.00864890031516552
Backdoor Type,Source,-0.008602136746048927
Created by,Bypass Technique,-0.008518461138010025
Bypass Technique,Created By,-0.008518461138010025
Bypass Technique,Task Run User,-0.00849933922290802
Adversary Name,Maintained Persistence,-0.008400266990065575
Disguised As,Execution Frequency,-0.008370881900191307
Adversary,Persistence Mechanisms,-0.00828200951218605
Compromised Credentials,File Extension,-0.00787997804582119
Group Name,Bypass Mechanism,-0.007846342399716377
Created by,Bypass Mechanism,-0.007483169436454773
Bypass Mechanism,Created By,-0.007483169436454773
Executable Name,Downloader,-0.006614722311496735
Downloader,Execution Frequency,-0.006564687937498093
Execution Time,Downloader,-0.0064888447523117065
Malicious Software,Persistence Establishment,-0.006093375384807587
Adversary Name,Persistence Option,-0.006017835810780525
Persistence Action,Malicious Software,-0.005962582305073738
Persistence Component,Other Malware,-0.005941102281212807
Compromised Networks,Scheduled Task Disguise,-0.005248459987342358
Compromised Credentials,Binary Execution,-0.0051755160093307495
Trigger Events,Adversary Name,-0.0050291577354073524
Malware Used,Task Run User,-0.0049803475849330425
Start Time,Bypass Mechanism,-0.004968184977769852
Task Launched,Backdoor Type,-0.00491140503436327
Persistence Configuration,Source,-0.004503258503973484
Payload Copy Method,Adversary Name,-0.004136336036026478
File Type,APT Group,-0.0038620373234152794
Adversary,Task XML File,-0.0038009267300367355
Malware Type,Persistence Trigger,-0.0037738317623734474
Bypassed Security,File Extension,-0.0035424968227744102
Persistence Component,Malware Type,-0.0035310983657836914
Persistence Mechanism,Malware Used,-0.0032810568809509277
Executable Launch,Compromised Account,-0.002571698511019349
Executable Launch,Source,-0.0024214424192905426
Job Name,Component Invocation,-0.002262657508254051
Adversary,Task Start Time,-0.0022224122658371925
Source,Dropped Utilities,-0.0020193997770547867
Start Time,Downloaded Malware,-0.0019138236530125141
Disguised As,Task Start Time,-0.0011771917343139648
Executed Components,Adversary Name,-0.0007480867207050323
Executed Components,Technique,-0.0005813427269458771
Loader Type,Actor Name,-0.0005126632750034332
Command Execution Method,Platform,-0.0005123000591993332
Persistence Component,Bypass Technique,-0.00038043782114982605
Disguised As,Persistence Establishment,-4.073977470397949e-05
Actor,Persistence Option,0.00013060495257377625
Persistence Component,Techniques,0.0001572035253047943
Adversary,Script Interval,0.00026592519134283066
Malicious File,APT Group,0.000269545242190361
Bypass Mechanism,Maintained Persistence,0.00032848119735717773
Bypass Technique,Persistence Configuration,0.0003790035843849182
Malware Type,Persistence Establishment,0.0004009092226624489
Task Run As,Compromised Networks,0.0004464108496904373
Persistence Configuration,Other Malware,0.0007212795317173004
Other Malware,Persistence Establishment,0.0007724463939666748
Persistence Configuration,Adversary Name,0.0009736344218254089
Component Invocation,Compromised Account,0.0012636799365282059
Persistence Component,Source,0.001552671194076538
Scheduled Job,Backdoor Type,0.0016201743856072426
Persistence Component,Spread Method,0.0016697794198989868
Persistence Configuration,Bypass Mechanism,0.0018514152616262436
Persistence Component,Bypass Mechanism,0.0019064843654632568
Start Time,Downloader,0.0022305604070425034
Component Invocation,Lateral Movement Method,0.0025078803300857544
Bypassed Security,Actor Name,0.0025799721479415894
Persistence Method,Malware Type,0.0026738671585917473
Description,Component Invocation,0.0028078434988856316
Compromised Credentials,Execution Type,0.002902153879404068
Component Invocation,Task User,0.0030248737893998623
Bypass Technique,Start Time,0.003127165138721466
Task Scheduler,Backdoor Type,0.003383045084774494
File Name,Bypass Mechanism,0.003423466347157955
Malware Used,Persistence Option,0.0034743454307317734
Task Frequency,Bypass Mechanism,0.0034865178167819977
Access Method,Frequency,0.0035692425444722176
Bypass Technique,Persistence Establishment,0.003723972477018833
Bypass Mechanism,File Type,0.003977741114795208
Malware Name,Persistence Component,0.004050260875374079
Malware Execution Method,Group Name,0.004141197074204683
Description,Backdoor Type,0.00415630079805851
Task Creation,Backdoor Type,0.004541123751550913
Persistence Technique,Actor,0.004601139575242996
Malware Used,Maintained Persistence,0.004727872088551521
Downloader,Interval Type,0.004757799208164215
Compromised Credentials,Host Status,0.004789160564541817
Executed Components,Schedule Type,0.004857689142227173
Executable Name,Establishment Method,0.005031543783843517
System,Tool Argument,0.005130870267748833
Reboot Persistence,Scripting Language,0.005168252624571323
Compromised Credentials,Dropped Utilities,0.00525634502992034
Persistence,Actor Name,0.005263453349471092
Task Run,Backdoor Type,0.005302645731717348
